id,length,freq_A,freq_C,freq_D,freq_E,freq_F,freq_G,freq_H,freq_I,freq_K,freq_L,freq_M,freq_N,freq_P,freq_Q,freq_R,freq_S,freq_T,freq_V,freq_W,freq_Y,label
sp|A0A1L4BKS3|TERL_BPG20,485,0.0865979381443299,0.006185567010309278,0.06391752577319587,0.08041237113402062,0.04742268041237113,0.06804123711340206,0.024742268041237112,0.04536082474226804,0.041237113402061855,0.09484536082474226,0.020618556701030927,0.0288659793814433,0.04329896907216495,0.030927835051546393,0.07835051546391752,0.07216494845360824,0.03505154639175258,0.07010309278350516,0.020618556701030927,0.041237113402061855,1
sp|O50146|LYSY_THET2,344,0.10465116279069768,0.00872093023255814,0.046511627906976744,0.06395348837209303,0.040697674418604654,0.0872093023255814,0.0377906976744186,0.040697674418604654,0.040697674418604654,0.11627906976744186,0.011627906976744186,0.020348837209302327,0.0755813953488372,0.020348837209302327,0.07267441860465117,0.03488372093023256,0.05232558139534884,0.07267441860465117,0.011627906976744186,0.040697674418604654,1
sp|O50147|LYSZ_THET2,269,0.10780669144981413,0.0037174721189591076,0.03717472118959108,0.08550185873605948,0.01486988847583643,0.10408921933085502,0.01486988847583643,0.03345724907063197,0.05947955390334572,0.12639405204460966,0.01486988847583643,0.03717472118959108,0.040892193308550186,0.01858736059479554,0.07063197026022305,0.02973977695167286,0.040892193308550186,0.11895910780669144,0.0037174721189591076,0.03717472118959108,1
sp|O87198|HOSA_THET2,376,0.11170212765957446,0.005319148936170213,0.04521276595744681,0.10638297872340426,0.02925531914893617,0.06914893617021277,0.031914893617021274,0.07446808510638298,0.047872340425531915,0.08244680851063829,0.015957446808510637,0.018617021276595744,0.0398936170212766,0.026595744680851064,0.0797872340425532,0.026595744680851064,0.05851063829787234,0.0851063829787234,0.005319148936170213,0.0398936170212766,1
sp|P0AAI3|FTSH_ECOLI,644,0.09161490683229814,0.003105590062111801,0.05745341614906832,0.07763975155279502,0.03881987577639751,0.09006211180124224,0.013975155279503106,0.062111801242236024,0.05745341614906832,0.07919254658385093,0.03881987577639751,0.040372670807453416,0.055900621118012424,0.034161490683229816,0.06677018633540373,0.049689440993788817,0.04192546583850932,0.07763975155279502,0.007763975155279503,0.015527950310559006,1
sp|P17293|RS12_THETH,132,0.08333333333333333,0.007575757575757576,0.022727272727272728,0.03787878787878788,0.007575757575757576,0.09090909090909091,0.022727272727272728,0.030303030303030304,0.1590909090909091,0.05303030303030303,0.007575757575757576,0.022727272727272728,0.06060606060606061,0.015151515151515152,0.10606060606060606,0.045454545454545456,0.06060606060606061,0.12878787878787878,0.0,0.03787878787878788,1
sp|P21777|PFKA1_THET8,322,0.14285714285714285,0.003105590062111801,0.043478260869565216,0.07763975155279502,0.021739130434782608,0.13354037267080746,0.018633540372670808,0.06832298136645963,0.027950310559006212,0.08695652173913043,0.021739130434782608,0.015527950310559006,0.031055900621118012,0.027950310559006212,0.07763975155279502,0.031055900621118012,0.043478260869565216,0.11180124223602485,0.0,0.015527950310559006,1
sp|P25126|SUCC_THETH,378,0.1349206349206349,0.0,0.047619047619047616,0.08994708994708994,0.023809523809523808,0.10317460317460317,0.015873015873015872,0.06349206349206349,0.08465608465608465,0.0873015873015873,0.021164021164021163,0.03439153439153439,0.042328042328042326,0.013227513227513227,0.04497354497354497,0.010582010582010581,0.026455026455026454,0.1164021164021164,0.0026455026455026454,0.037037037037037035,1
sp|P26745|TERL_BPP22,499,0.05811623246492986,0.012024048096192385,0.06412825651302605,0.09018036072144289,0.05410821643286573,0.0841683366733467,0.03406813627254509,0.05811623246492986,0.06613226452905811,0.056112224448897796,0.02404809619238477,0.03406813627254509,0.05811623246492986,0.03807615230460922,0.05811623246492986,0.04208416833667335,0.052104208416833664,0.04609218436873747,0.02404809619238477,0.04609218436873747,1
sp|P27000|SYE_THET8,468,0.0876068376068376,0.002136752136752137,0.0405982905982906,0.11538461538461539,0.03632478632478633,0.07264957264957266,0.017094017094017096,0.03418803418803419,0.05128205128205128,0.12393162393162394,0.014957264957264958,0.017094017094017096,0.06623931623931624,0.019230769230769232,0.10042735042735043,0.03205128205128205,0.0405982905982906,0.06196581196581197,0.021367521367521368,0.04487179487179487,1
